Date,Month,Year,NAV,Amount_Invested,Units_Bought,,Date,occurances,total units,Avg_Units_Per_Occurrence
5,9,2014,14.7395,1000,67.8449,,,,,
8,9,2014,14.8275,1000,67.4423,,,,,
9,9,2014,14.8143,1000,67.5023,,,,,
10,9,2014,14.8494,1000,67.3428,,,,,
11,9,2014,15.0675,1000,66.368,,,,,
12,9,2014,15.1353,1000,66.0707,,,,,
15,9,2014,15.1571,1000,65.9757,,,,,
16,9,2014,14.798,1000,67.5767,,,,,
17,9,2014,14.8824,1000,67.1935,,,,,
18,9,2014,15.1506,1000,66.004,,,,,
19,9,2014,15.2407,1000,65.6138,,,,,
22,9,2014,15.2844,1000,65.4262,,,,,
23,9,2014,15.1033,1000,66.2107,,,,,
24,9,2014,14.9214,1000,67.0178,,,,,
25,9,2014,14.7508,1000,67.7929,,,,,
26,9,2014,14.7782,1000,67.6672,,,,,
29,9,2014,14.8788,1000,67.2097,,,,,
30,9,2014,14.7827,1000,67.6466,,,,,
1,10,2014,14.8235,1000,67.4605,,,,,
7,10,2014,14.6456,1000,68.2799,,,,,
8,10,2014,14.5722,1000,68.6238,,,,,
9,10,2014,14.7594,1000,67.7534,,,,,
10,10,2014,14.5769,1000,68.6017,,,,,
13,10,2014,14.5167,1000,68.8862,,,,,
14,10,2014,14.462,1000,69.1467,,,,,
16,10,2014,14.3874,1000,69.5053,,,,,
17,10,2014,14.3896,1000,69.4946,,,,,
20,10,2014,14.4761,1000,69.0794,,,,,
21,10,2014,14.509,1000,68.9227,,,,,
22,10,2014,14.6208,1000,68.3957,,,,,
27,10,2014,14.7208,1000,67.9311,,,,,
28,10,2014,14.6982,1000,68.0355,,,,,
29,10,2014,14.7456,1000,67.8168,,,,,
30,10,2014,14.8042,1000,67.5484,,,,,
31,10,2014,14.9338,1000,66.9622,,,,,
3,11,2014,15.1612,1000,65.9578,,,,,
5,11,2014,15.0834,1000,66.298,,,,,
7,11,2014,15.0911,1000,66.2642,,,,,
10,11,2014,15.0768,1000,66.3271,,,,,
11,11,2014,15.169,1000,65.9239,,,,,
12,11,2014,15.1974,1000,65.8007,,,,,
13,11,2014,15.0945,1000,66.2493,,,,,
14,11,2014,15.1046,1000,66.205,,,,,
17,11,2014,15.1272,1000,66.1061,,,,,
18,11,2014,15.1613,1000,65.9574,,,,,
19,11,2014,15.1682,1000,65.9274,,,,,
20,11,2014,15.1239,1000,66.1205,,,,,
21,11,2014,15.2023,1000,65.7795,,,,,
24,11,2014,15.2649,1000,65.5098,,,,,
25,11,2014,15.2011,1000,65.7847,,,,,
26,11,2014,15.3714,1000,65.0559,,,,,
27,11,2014,15.4273,1000,64.8202,,,,,
28,11,2014,15.5459,1000,64.3256,,,,,
1,12,2014,15.6125,1000,64.0512,,,,,
2,12,2014,15.7448,1000,63.513,,,,,
3,12,2014,15.8292,1000,63.1744,,,,,
4,12,2014,15.8709,1000,63.0084,,,,,
5,12,2014,15.8547,1000,63.0728,,,,,
8,12,2014,15.8646,1000,63.0334,,,,,
9,12,2014,15.7483,1000,63.4989,,,,,
10,12,2014,15.7657,1000,63.4288,,,,,
11,12,2014,15.6429,1000,63.9268,,,,,
