Date,month,year,NAV,Amount_Invested,Units_Bought,,Day_of_Month,Occurrences,Total_Units_Bought,Avg_Units_Per_Occurrence
6,12,2016,29.3637,2000,68.1113,,,,,
7,12,2016,29.1457,2000,68.6208,,,,,
8,12,2016,29.5426,2000,67.6988,,,,,
9,12,2016,29.7271,2000,67.2787,,,,,
12,12,2016,29.5146,2000,67.7631,,,,,
13,12,2016,29.5318,2000,67.7236,,,,,
14,12,2016,29.401,2000,68.0249,,,,,
15,12,2016,29.4785,2000,67.8461,,,,,
16,12,2016,29.4664,2000,67.8739,,,,,
19,12,2016,29.3497,2000,68.1438,,,,,
20,12,2016,29.0965,2000,68.7368,,,,,
21,12,2016,29.0321,2000,68.8893,,,,,
22,12,2016,28.5896,2000,69.9555,,,,,
23,12,2016,28.6377,2000,69.838,,,,,
26,12,2016,28.0927,2000,71.1929,,,,,
27,12,2016,28.5143,2000,70.1402,,,,,
28,12,2016,28.7153,2000,69.6493,,,,,
29,12,2016,28.9244,2000,69.1458,,,,,
30,12,2016,29.2741,2000,68.3198,,,,,
2,1,2017,29.4754,2000,67.8532,,,,,
3,1,2017,29.7878,2000,67.1416,,,,,
4,1,2017,29.963,2000,66.749,,,,,
5,1,2017,30.2331,2000,66.1527,,,,,
6,1,2017,30.1177,2000,66.4061,,,,,
9,1,2017,30.3112,2000,65.9822,,,,,
10,1,2017,30.5708,2000,65.4219,,,,,
11,1,2017,30.8762,2000,64.7748,,,,,
12,1,2017,30.8371,2000,64.8569,,,,,
13,1,2017,30.7873,2000,64.9619,,,,,
16,1,2017,31.0579,2000,64.3959,,,,,
17,1,2017,31.0563,2000,64.3992,,,,,
18,1,2017,31.261,2000,63.9775,,,,,
19,1,2017,31.3406,2000,63.815,,,,,
20,1,2017,30.9626,2000,64.5941,,,,,
23,1,2017,31.1461,2000,64.2135,,,,,
24,1,2017,31.2542,2000,63.9914,,,,,
25,1,2017,31.4698,2000,63.553,,,,,
27,1,2017,31.5861,2000,63.319,,,,,
30,1,2017,31.6192,2000,63.2527,,,,,
31,1,2017,31.2427,2000,64.015,,,,,
1,2,2017,31.7502,2000,62.9917,,,,,
2,2,2017,32.04,2000,62.422,,,,,
3,2,2017,32.258,2000,62.0001,,,,,
6,2,2017,32.6246,2000,61.3034,,,,,
7,2,2017,32.4003,2000,61.7278,,,,,
8,2,2017,32.3428,2000,61.8376,,,,,
9,2,2017,32.3908,2000,61.7459,,,,,
10,2,2017,32.3824,2000,61.7619,,,,,
13,2,2017,32.0705,2000,62.3626,,,,,
14,2,2017,31.9115,2000,62.6733,,,,,
15,2,2017,31.3162,2000,63.8647,,,,,
16,2,2017,31.7586,2000,62.9751,,,,,
17,2,2017,32.0095,2000,62.4815,,,,,
20,2,2017,32.2657,2000,61.9853,,,,,
21,2,2017,32.4695,2000,61.5963,,,,,
22,2,2017,32.3185,2000,61.8841,,,,,
23,2,2017,32.2888,2000,61.941,,,,,
27,2,2017,32.3431,2000,61.837,,,,,
28,2,2017,32.4449,2000,61.643,,,,,
1,3,2017,32.6595,2000,61.2379,,,,,
2,3,2017,32.2967,2000,61.9258,,,,,
3,3,2017,32.3645,2000,61.7961,,,,,
6,3,2017,32.5486,2000,61.4466,,,,,
7,3,2017,32.5747,2000,61.3973,,,,,
8,3,2017,32.4234,2000,61.6838,,,,,
9,3,2017,32.5436,2000,61.456,,,,,
10,3,2017,32.5759,2000,61.3951,,,,,
14,3,2017,32.914,2000,60.7644,,,,,
15,3,2017,33.1073,2000,60.4096,,,,,
16,3,2017,33.3058,2000,60.0496,,,,,
17,3,2017,33.2668,2000,60.12,,,,,
20,3,2017,33.3581,2000,59.9555,,,,,
21,3,2017,33.2756,2000,60.1041,,,,,
